Order ID,Client Order ID,Instrument,Side,Exec Status,Quantity,Price,Reason
44,aa56,Rose,Sell,fill ,100,527,
49,aa61,Lavender,Buy ,fill ,100,95,
19,aa31,Lavender,Sell,pfill,100,95,
51,aa63,Lavender,Buy ,fill ,200,95,
19,aa31,Lavender,Sell,pfill,200,95,
52,aa64,Rose,Sell,pfill,200,556,
47,aa59,Rose,Buy ,fill ,200,556,
53,aa65,Orchid,Buy ,pfill,100,18,
37,aa49,Orchid,Sell,fill ,100,18,
53,aa65,Orchid,Buy ,fill ,100,47,
6,aa18,Orchid,Sell,fill ,100,47,
54,aa66,Tulip,Buy ,New  ,300,9,
57,aa69,Tulip,Buy ,New  ,300,735,
61,aa73,Tulip,Sell,fill ,300,735,
57,aa69,Tulip,Buy ,fill ,300,735,
64,aa76,Lavender,Buy ,fill ,100,95,
19,aa31,Lavender,Sell,fill ,100,95,
66,aa78,Lavender,Sell,pfill,100,515,
64,aa76,Lavender,Buy ,fill ,100,515,
69,aa81,Tulip,Buy ,fill ,300,99,
61,aa73,Tulip,Sell,fill ,300,99,
70,aa82,Orchid,Buy ,pfill,100,47,
6,aa18,Orchid,Sell,fill ,100,47,
72,aa84,Orchid,Buy ,fill ,200,91,
22,aa34,Orchid,Sell,fill ,200,91,
74,aa86,Tulip,Buy ,fill ,200,580,
62,aa74,Tulip,Sell,fill ,200,580,
76,aa88,Rose,Sell,pfill,100,373,
45,aa57,Rose,Buy ,fill ,100,373,
76,aa88,Rose,Sell,fill ,200,224,
63,aa75,Rose,Buy ,fill ,200,224,
76,aa88,Rose,Sell,fill ,200,224,
63,,,Buy ,fill ,200,224,
77,aa89,Lotus,Buy ,pfill,200,71,
35,aa47,Lotus,Sell,fill ,200,71,
77,aa89,Lotus,Buy ,fill ,100,78,
21,aa33,Lotus,Sell,pfill,100,78,
77,aa89,Lotus,Buy ,fill ,100,98,
9,aa21,Lotus,Sell,pfill,100,98,
78,aa90,Lotus,Sell,pfill,100,413,
77,aa89,Lotus,Buy ,fill ,100,413,
79,aa91,Orchid,Sell,fill ,100,499,
72,aa84,Orchid,Buy ,pfill,100,499,
80,aa92,Orchid,Sell,pfill,100,499,
72,aa84,Orchid,Buy ,fill ,100,499,
81,aa93,Lotus,Buy ,pfill,200,74,
7,aa19,Lotus,Sell,fill ,200,74,
81,aa93,Lotus,Buy ,fill ,100,78,
78,aa90,Lotus,Sell,fill ,100,78,
81,aa93,Lotus,Buy ,fill ,100,484,
65,aa77,Lotus,Sell,pfill,100,484,
81,aa93,Lotus,Buy ,fill ,100,484,
65,,,Sell,pfill,100,484,
81,aa93,Lotus,Buy ,fill ,100,484,
65,,,Sell,pfill,100,484,
82,aa94,Orchid,Buy ,pfill,100,107,
79,aa91,Orchid,Sell,fill ,100,107,
82,aa94,Orchid,Buy ,fill ,100,576,
56,aa68,Orchid,Sell,pfill,100,576,
82,aa94,Orchid,Buy ,fill ,100,684,
58,aa70,Orchid,Sell,pfill,100,684,
83,aa95,Lotus,Sell,fill ,100,967,
81,aa93,Lotus,Buy ,fill ,100,967,
84,aa96,Tulip,Sell,fill ,200,994,
74,aa86,Tulip,Buy ,fill ,200,994,
85,aa97,Orchid,Sell,pfill,100,781,
82,aa94,Orchid,Buy ,fill ,100,781,
86,aa98,Tulip,Sell,fill ,100,50,
18,aa30,Tulip,Buy ,pfill,100,50,
86,aa98,Tulip,Sell,fill ,100,47,
13,aa25,Tulip,Buy ,fill ,100,47,
87,aa99,Orchid,Sell,New  ,200,653,
88,aa100,Lotus,Sell,New  ,100,226,
91,aa103,Lotus,Buy ,fill ,300,98,
9,aa21,Lotus,Sell,fill ,300,98,
91,aa103,Lotus,Buy ,pfill,100,292,
83,aa95,Lotus,Sell,fill ,100,292,
91,aa103,Lotus,Buy ,fill ,200,484,
65,,,Sell,fill ,200,484,
91,aa103,Lotus,Buy ,fill ,200,484,
65,,,Sell,fill ,200,484,
92,aa104,Rose,Sell,New  ,200,738,
94,aa106,Rose,Sell,New  ,300,371,
95,aa107,Orchid,Sell,New  ,200,804,
96,aa108,Orchid,Sell,New  ,100,558,
97,aa109,Rose,Sell,New  ,100,323,
98,aa110,Rose,Sell,New  ,200,819,
99,aa111,Rose,Sell,New  ,300,129,
100,aa112,Lotus,Sell,fill ,100,799,
91,aa103,Lotus,Buy ,pfill,100,799,
101,aa113,Lavender,Buy ,pfill,100,291,
75,aa87,Lavender,Sell,fill ,100,291,
101,aa113,Lavender,Buy ,fill ,100,412,
90,aa102,Lavender,Sell,pfill,100,412,
101,aa113,Lavender,Buy ,fill ,100,451,
73,aa85,Lavender,Sell,pfill,100,451,
102,aa114,Rose,Buy ,fill ,300,129,
99,aa111,Rose,Sell,fill ,300,129,
102,aa114,Rose,Buy ,pfill,100,323,
97,aa109,Rose,Sell,fill ,100,323,
102,aa114,Rose,Buy ,fill ,200,608,
59,aa71,Rose,Sell,fill ,200,608,
104,aa116,Lavender,Buy ,pfill,100,373,
66,aa78,Lavender,Sell,fill ,100,373,
104,aa116,Lavender,Buy ,fill ,100,451,
73,aa85,Lavender,Sell,pfill,100,451,
105,aa117,Tulip,Buy ,pfill,100,47,
86,aa98,Tulip,Sell,fill ,100,47,
107,aa119,Orchid,Buy ,pfill,100,263,
80,aa92,Orchid,Sell,fill ,100,263,
107,aa119,Orchid,Buy ,pfill,100,558,
96,aa108,Orchid,Sell,fill ,100,558,
107,aa119,Orchid,Buy ,fill ,100,653,
87,aa99,Orchid,Sell,pfill,100,653,
107,aa119,Orchid,Buy ,fill ,100,684,
58,aa70,Orchid,Sell,pfill,100,684,
107,aa119,Orchid,Buy ,fill ,100,804,
95,aa107,Orchid,Sell,pfill,100,804,
107,aa119,Orchid,Buy ,fill ,100,868,
55,aa67,Orchid,Sell,pfill,100,868,
107,aa119,Orchid,Buy ,fill ,100,868,
55,,,Sell,pfill,100,868,
107,aa119,Orchid,Buy ,fill ,100,868,
55,,,Sell,pfill,100,868,
108,aa120,Orchid,Sell,pfill,100,908,
107,aa119,Orchid,Buy ,fill ,100,908,
109,aa121,Orchid,Buy ,fill ,100,280,
108,aa120,Orchid,Sell,fill ,100,280,
109,aa121,Orchid,Buy ,fill ,100,576,
56,aa68,Orchid,Sell,pfill,100,576,
109,aa121,Orchid,Buy ,fill ,100,653,
87,aa99,Orchid,Sell,fill ,100,653,
109,aa121,Orchid,Buy ,fill ,100,804,
95,aa107,Orchid,Sell,fill ,100,804,
109,aa121,Orchid,Buy ,fill ,100,868,
55,,,Sell,fill ,100,868,
109,aa121,Orchid,Buy ,fill ,100,868,
55,,,Sell,fill ,100,868,
109,aa121,Orchid,Buy ,fill ,100,868,
55,,,Sell,fill ,100,868,
110,aa122,Lavender,Sell,pfill,100,474,
104,aa116,Lavender,Buy ,fill ,100,474,
111,aa123,Orchid,Sell,pfill,100,976,
109,aa121,Orchid,Buy ,fill ,100,976,
114,aa126,Lavender,Buy ,pfill,100,339,
112,aa124,Lavender,Sell,fill ,100,339,
114,aa126,Lavender,Buy ,fill ,200,374,
110,aa122,Lavender,Sell,fill ,200,374,
114,aa126,Lavender,Buy ,pfill,100,451,
73,aa85,Lavender,Sell,fill ,100,451,
114,aa126,Lavender,Buy ,fill ,100,653,
89,aa101,Lavender,Sell,pfill,100,653,
115,aa127,Orchid,Sell,New  ,200,309,
118,aa130,Orchid,Buy ,pfill,200,309,
115,aa127,Orchid,Sell,fill ,200,309,
119,aa131,Lavender,Sell,pfill,100,676,
114,aa126,Lavender,Buy ,fill ,100,676,
120,aa132,Tulip,Sell,pfill,100,375,
105,aa117,Tulip,Buy ,fill ,100,375,
121,aa133,Lotus,Sell,pfill,100,799,
91,aa103,Lotus,Buy ,fill ,100,799,
122,aa134,Lotus,Sell,New  ,300,163,
123,aa135,Lavender,Sell,New  ,200,578,
124,aa136,Lavender,Buy ,fill ,200,412,
90,aa102,Lavender,Sell,fill ,200,412,
124,aa136,Lavender,Buy ,fill ,200,533,
119,aa131,Lavender,Sell,fill ,200,533,
126,aa138,Lavender,Sell,fill ,100,582,
124,aa136,Lavender,Buy ,pfill,100,582,
128,aa140,Tulip,Buy ,fill ,200,174,
120,aa132,Tulip,Sell,fill ,200,174,
128,aa140,Tulip,Buy ,fill ,200,615,
125,aa137,Tulip,Sell,pfill,200,615,
130,aa142,Lotus,Buy ,pfill,100,104,
100,aa112,Lotus,Sell,fill ,100,104,
132,aa144,Rose,Sell,fill ,200,779,
102,aa114,Rose,Buy ,fill ,200,779,
132,aa144,Rose,Sell,pfill,100,345,
117,aa129,Rose,Buy ,fill ,100,345,
134,aa146,Rose,Sell,New  ,200,285,
137,aa149,Rose,Sell,New  ,200,951,
141,aa153,Orchid,Sell,pfill,100,771,
118,aa130,Orchid,Buy ,fill ,100,771,
141,aa153,Orchid,Sell,fill ,100,429,
127,aa139,Orchid,Buy ,pfill,100,429,
141,aa153,Orchid,Sell,fill ,100,429,
127,,,Buy ,pfill,100,429,
145,aa157,Lavender,Buy ,pfill,100,493,
126,aa138,Lavender,Sell,fill ,100,493,
145,aa157,Lavender,Buy ,fill ,200,651,
46,aa58,Lavender,Sell,fill ,200,651,
145,aa157,Lavender,Buy ,fill ,200,843,
50,aa62,Lavender,Sell,fill ,200,843,
145,aa157,Lavender,Buy ,fill ,200,952,
93,aa105,Lavender,Sell,fill ,200,952,
145,aa157,Lavender,Buy ,pfill,100,979,
67,,,Sell,fill ,100,979,
145,aa157,Lavender,Buy ,fill ,100,979,
67,,,Sell,fill ,100,979,
145,aa157,Lavender,Buy ,fill ,100,979,
67,,,Sell,fill ,100,979,
145,aa157,Lavender,Buy ,fill ,100,979,
67,,,Sell,fill ,100,979,
146,aa158,Orchid,Sell,pfill,200,544,
133,aa145,Orchid,Buy ,fill ,200,544,
148,aa160,Tulip,Sell,fill ,100,809,
128,aa140,Tulip,Buy ,pfill,100,809,
148,aa160,Tulip,Sell,fill ,100,517,
139,aa151,Tulip,Buy ,fill ,100,517,
149,aa161,Lotus,Buy ,fill ,200,163,
122,aa134,Lotus,Sell,pfill,200,163,
149,aa161,Lotus,Buy ,pfill,100,539,
121,aa133,Lotus,Sell,fill ,100,539,
149,aa161,Lotus,Buy ,fill ,100,786,
147,aa159,Lotus,Sell,fill ,100,786,
152,aa164,Lavender,Sell,pfill,100,993,
145,aa157,Lavender,Buy ,fill ,100,993,
153,aa165,Lotus,Sell,fill ,100,916,
149,aa161,Lotus,Buy ,fill ,100,916,
154,aa166,Tulip,Sell,fill ,100,517,
139,aa151,Tulip,Buy ,fill ,100,517,
154,aa166,Tulip,Sell,fill ,100,265,
150,aa162,Tulip,Buy ,fill ,100,265,
155,aa167,Tulip,Sell,pfill,100,265,
150,aa162,Tulip,Buy ,fill ,100,265,
158,aa170,Lotus,Sell,pfill,100,102,
142,aa154,Lotus,Buy ,fill ,100,102,
159,aa171,Lavender,Buy ,fill ,100,726,
152,aa164,Lavender,Sell,fill ,100,726,
160,aa172,Lotus,Buy ,fill ,200,86,
158,aa170,Lotus,Sell,fill ,200,86,
160,aa172,Lotus,Buy ,pfill,100,543,
153,aa165,Lotus,Sell,fill ,100,543,
161,aa173,Orchid,Buy ,fill ,100,332,
146,aa158,Orchid,Sell,fill ,100,332,
162,aa174,Tulip,Buy ,fill ,100,82,
154,aa166,Tulip,Sell,fill ,100,82,
162,aa174,Tulip,Buy ,fill ,100,246,
155,aa167,Tulip,Sell,pfill,100,246,
163,aa175,Rose,Sell,fill ,100,173,
140,aa152,Rose,Buy ,fill ,100,173,
164,aa176,Tulip,Sell,fill ,100,283,
162,aa174,Tulip,Buy ,fill ,100,283,
165,aa177,Lavender,Sell,fill ,100,942,
159,aa171,Lavender,Buy ,fill ,100,942,
166,aa178,Rose,Sell,New  ,200,382,
167,aa179,Rose,Sell,New  ,300,267,
168,aa180,Lavender,Sell,New  ,200,726,
169,aa181,Lotus,Sell,pfill,100,698,
160,aa172,Lotus,Buy ,fill ,100,698,
170,aa182,Lotus,Sell,New  ,200,770,
171,aa183,Rose,Buy ,fill ,100,61,
163,aa175,Rose,Sell,fill ,100,61,
171,aa183,Rose,Buy ,fill ,100,335,
132,aa144,Rose,Sell,fill ,100,335,
171,aa183,Rose,Buy ,fill ,100,608,
59,aa71,Rose,Sell,pfill,100,608,
174,aa186,Lavender,Sell,New  ,200,565,
175,aa187,Lotus,Sell,New  ,100,274,
176,aa188,Tulip,Buy ,pfill,100,40,
164,aa176,Tulip,Sell,fill ,100,40,
177,aa189,Orchid,Sell,pfill,100,766,
161,aa173,Orchid,Buy ,fill ,100,766,
178,aa190,Tulip,Buy ,New  ,100,187,
179,aa191,Orchid,Sell,pfill,100,214,
143,aa155,Orchid,Buy ,fill ,100,214,
180,aa192,Lavender,Sell,New  ,100,109,
181,aa193,Rose,Buy ,pfill,100,335,
132,aa144,Rose,Sell,fill ,100,335,
181,aa193,Rose,Buy ,fill ,100,608,
59,aa71,Rose,Sell,fill ,100,608,
182,aa194,Rose,Buy ,pfill,100,608,
59,aa71,Rose,Sell,fill ,100,608,
182,aa194,Rose,Buy ,fill ,100,819,
98,aa110,Rose,Sell,pfill,100,819,
183,aa195,Lotus,Sell,New  ,100,169,
185,aa197,Lotus,Sell,New  ,100,94,
187,aa199,Rose,Sell,fill ,100,871,
182,aa194,Rose,Buy ,fill ,100,871,
188,aa200,Lavender,Buy ,pfill,100,109,
180,aa192,Lavender,Sell,fill ,100,109,
189,aa201,Tulip,Sell,fill ,200,460,
176,aa188,Tulip,Buy ,fill ,200,460,
190,aa202,Lotus,Buy ,pfill,100,94,
185,aa197,Lotus,Sell,fill ,100,94,
190,aa202,Lotus,Buy ,pfill,100,274,
175,aa187,Lotus,Sell,fill ,100,274,
191,aa203,Lavender,Buy ,pfill,100,543,
165,aa177,Lavender,Sell,fill ,100,543,
192,aa204,Lotus,Sell,pfill,100,646,
190,aa202,Lotus,Buy ,fill ,100,646,
193,aa205,Orchid,Buy ,pfill,100,71,
177,aa189,Orchid,Sell,fill ,100,71,
197,aa209,Lotus,Buy ,fill ,100,274,
175,aa187,Lotus,Sell,fill ,100,274,
197,aa209,Lotus,Buy ,fill ,100,545,
192,aa204,Lotus,Sell,pfill,100,545,
197,aa209,Lotus,Buy ,fill ,100,685,
169,aa181,Lotus,Sell,pfill,100,685,
198,aa210,Tulip,Sell,fill ,100,415,
196,aa208,Tulip,Buy ,pfill,100,415,
198,aa210,Tulip,Sell,fill ,100,187,
178,aa190,Tulip,Buy ,fill ,100,187,
199,aa211,Lotus,Sell,fill ,100,706,
197,aa209,Lotus,Buy ,fill ,100,706,
202,aa214,Tulip,Buy ,pfill,100,25,
198,aa210,Tulip,Sell,fill ,100,25,
203,aa215,Tulip,Buy ,New  ,200,338,
205,aa217,Tulip,Buy ,New  ,200,299,
206,aa218,Lotus,Buy ,pfill,100,545,
192,aa204,Lotus,Sell,fill ,100,545,
206,aa218,Lotus,Buy ,fill ,100,685,
169,aa181,Lotus,Sell,fill ,100,685,
206,aa218,Lotus,Buy ,fill ,100,770,
170,aa182,Lotus,Sell,pfill,100,770,
206,aa218,Lotus,Buy ,fill ,100,786,
147,aa159,Lotus,Sell,fill ,100,786,
206,aa218,Lotus,Buy ,fill ,100,942,
106,aa118,Lotus,Sell,pfill,100,942,
206,aa218,Lotus,Buy ,fill ,100,942,
106,,,Sell,pfill,100,942,
206,aa218,Lotus,Buy ,fill ,100,942,
106,,,Sell,pfill,100,942,
206,aa218,Lotus,Buy ,fill ,100,942,
106,,,Sell,pfill,100,942,
207,aa219,Tulip,Sell,pfill,100,446,
202,aa214,Tulip,Buy ,fill ,100,446,
207,aa219,Tulip,Sell,fill ,200,299,
205,aa217,Tulip,Buy ,fill ,200,299,
207,aa219,Tulip,Sell,pfill,100,187,
178,,,Buy ,fill ,100,187,
207,aa219,Tulip,Sell,fill ,100,187,
178,,,Buy ,fill ,100,187,
208,aa220,Tulip,Buy ,pfill,100,156,
207,aa219,Tulip,Sell,fill ,100,156,
210,aa222,Tulip,Buy ,New  ,100,598,
212,aa224,Lotus,Sell,fill ,100,942,
206,aa218,Lotus,Buy ,fill ,100,942,
216,aa228,Rose,Buy ,fill ,100,175,
204,aa216,Rose,Sell,pfill,100,175,
218,aa230,Tulip,Sell,fill ,100,598,
210,aa222,Tulip,Buy ,fill ,100,598,
218,aa230,Tulip,Sell,fill ,100,218,
208,aa220,Tulip,Buy ,pfill,100,218,
219,aa231,Orchid,Buy ,pfill,100,122,
179,aa191,Orchid,Sell,fill ,100,122,
223,aa235,Lavender,Sell,pfill,100,613,
191,aa203,Lavender,Buy ,fill ,100,613,
223,aa235,Lavender,Sell,pfill,100,195,
188,aa200,Lavender,Buy ,fill ,100,195,
224,aa236,Rose,Buy ,fill ,100,175,
204,aa216,Rose,Sell,pfill,100,175,
224,aa236,Rose,Buy ,fill ,100,344,
222,aa234,Rose,Sell,pfill,100,344,
226,aa238,Orchid,Buy ,fill ,100,249,
201,aa213,Orchid,Sell,fill ,100,249,
227,aa239,Orchid,Buy ,fill ,200,347,
221,aa233,Orchid,Sell,pfill,200,347,
227,aa239,Orchid,Buy ,pfill,100,392,
141,aa153,Orchid,Sell,fill ,100,392,
230,aa242,Lavender,Buy ,pfill,100,97,
223,aa235,Lavender,Sell,fill ,100,97,
232,aa244,Lavender,Sell,pfill,100,307,
230,aa242,Lavender,Buy ,fill ,100,307,
233,aa245,Lavender,Buy ,fill ,100,88,
232,aa244,Lavender,Sell,pfill,100,88,
233,aa245,Lavender,Buy ,fill ,100,391,
231,aa243,Lavender,Sell,pfill,100,391,
233,aa245,Lavender,Buy ,fill ,100,565,
174,aa186,Lavender,Sell,pfill,100,565,
233,aa245,Lavender,Buy ,fill ,100,652,
213,aa225,Lavender,Sell,pfill,100,652,
233,aa245,Lavender,Buy ,fill ,100,673,
217,aa229,Lavender,Sell,pfill,100,673,
234,aa246,Lavender,Buy ,pfill,100,88,
232,aa244,Lavender,Sell,fill ,100,88,
234,aa246,Lavender,Buy ,fill ,100,565,
174,aa186,Lavender,Sell,fill ,100,565,
234,aa246,Lavender,Buy ,fill ,100,673,
217,aa229,Lavender,Sell,fill ,100,673,
237,aa249,Tulip,Sell,pfill,200,218,
208,aa220,Tulip,Buy ,fill ,200,218,
239,aa251,Tulip,Buy ,fill ,100,55,
218,aa230,Tulip,Sell,fill ,100,55,
241,aa253,Rose,Buy ,pfill,100,175,
204,aa216,Rose,Sell,fill ,100,175,
242,aa254,Rose,Sell,fill ,200,712,
241,aa253,Rose,Buy ,fill ,200,712,
242,aa254,Rose,Sell,pfill,100,489,
224,aa236,Rose,Buy ,fill ,100,489,
243,aa255,Rose,Sell,New  ,200,638,
244,aa256,Rose,Sell,New  ,200,462,
245,aa257,Tulip,Buy ,pfill,100,198,
237,aa249,Tulip,Sell,fill ,100,198,
252,aa264,Rose,Buy ,fill ,100,170,
242,aa254,Rose,Sell,fill ,100,170,
253,aa265,Rose,Sell,fill ,100,492,
252,aa264,Rose,Buy ,fill ,100,492,
255,aa267,Rose,Sell,New  ,300,290,
257,aa269,Tulip,Buy ,fill ,100,331,
240,aa252,Tulip,Sell,pfill,100,331,
258,aa270,Tulip,Buy ,fill ,100,331,
240,aa252,Tulip,Sell,pfill,100,331,
258,aa270,Tulip,Buy ,fill ,100,740,
225,aa237,Tulip,Sell,fill ,100,740,
262,aa274,Lavender,Sell,pfill,100,679,
234,aa246,Lavender,Buy ,fill ,100,679,
265,aa277,Lavender,Buy ,fill ,100,492,
262,aa274,Lavender,Sell,pfill,100,492,
265,aa277,Lavender,Buy ,fill ,100,652,
213,aa225,Lavender,Sell,pfill,100,652,
265,aa277,Lavender,Buy ,fill ,100,673,
217,aa229,Lavender,Sell,fill ,100,673,
265,aa277,Lavender,Buy ,fill ,100,746,
247,aa259,Lavender,Sell,fill ,100,746,
266,aa278,Tulip,Buy ,pfill,100,740,
225,aa237,Tulip,Sell,fill ,100,740,
269,aa281,Orchid,Buy ,fill ,100,392,
141,aa153,Orchid,Sell,fill ,100,392,
269,aa281,Orchid,Buy ,fill ,100,591,
211,aa223,Orchid,Sell,pfill,100,591,
269,aa281,Orchid,Buy ,fill ,100,760,
214,aa226,Orchid,Sell,fill ,100,760,
270,aa282,Tulip,Buy ,New  ,200,813,
272,aa284,Lavender,Sell,pfill,100,845,
265,aa277,Lavender,Buy ,fill ,100,845,
273,aa285,Orchid,Sell,fill ,100,845,
269,aa281,Orchid,Buy ,fill ,100,845,
274,aa286,Lotus,Buy ,fill ,100,770,
170,aa182,Lotus,Sell,fill ,100,770,
278,aa290,Tulip,Sell,pfill,200,905,
266,aa278,Tulip,Buy ,fill ,200,905,
278,aa290,Tulip,Sell,fill ,100,813,
270,aa282,Tulip,Buy ,pfill,100,813,
279,aa291,Orchid,Buy ,pfill,100,428,
273,aa285,Orchid,Sell,fill ,100,428,
279,aa291,Orchid,Buy ,pfill,100,868,
55,aa67,Orchid,Sell,fill ,100,868,
280,aa292,Rose,Buy ,pfill,100,89,
263,aa275,Rose,Sell,fill ,100,89,
280,aa292,Rose,Buy ,fill ,100,169,
261,aa273,Rose,Sell,pfill,100,169,
280,aa292,Rose,Buy ,fill ,100,201,
253,aa265,Rose,Sell,fill ,100,201,
280,aa292,Rose,Buy ,fill ,100,290,
255,aa267,Rose,Sell,pfill,100,290,
280,aa292,Rose,Buy ,fill ,100,638,
243,aa255,Rose,Sell,pfill,100,638,
282,aa294,Rose,Buy ,fill ,100,169,
261,aa273,Rose,Sell,fill ,100,169,
282,aa294,Rose,Buy ,fill ,100,210,
264,aa276,Rose,Sell,fill ,100,210,
282,aa294,Rose,Buy ,fill ,100,638,
243,aa255,Rose,Sell,fill ,100,638,
283,aa295,Lotus,Buy ,pfill,100,786,
147,aa159,Lotus,Sell,fill ,100,786,
283,aa295,Lotus,Buy ,fill ,100,854,
103,aa115,Lotus,Sell,pfill,100,854,
285,aa297,Lavender,Sell,fill ,200,435,
271,aa283,Lavender,Buy ,pfill,200,435,
285,aa297,Lavender,Sell,fill ,200,196,
281,aa293,Lavender,Buy ,pfill,200,196,
286,aa298,Lavender,Sell,pfill,100,435,
271,aa283,Lavender,Buy ,fill ,100,435,
287,aa299,Orchid,Sell,pfill,100,892,
279,aa291,Orchid,Buy ,fill ,100,892,
288,aa300,Tulip,Sell,pfill,100,870,
258,aa270,Tulip,Buy ,fill ,100,870,
289,aa301,Tulip,Buy ,pfill,200,126,
288,aa300,Tulip,Sell,fill ,200,126,
289,aa301,Tulip,Buy ,fill ,100,511,
278,aa290,Tulip,Sell,fill ,100,511,
290,aa302,Orchid,Buy ,pfill,100,79,
287,aa299,Orchid,Sell,fill ,100,79,
291,aa303,Rose,Sell,fill ,100,697,
282,aa294,Rose,Buy ,fill ,100,697,
292,aa304,Lotus,Sell,pfill,100,870,
283,aa295,Lotus,Buy ,fill ,100,870,
293,aa305,Lavender,Buy ,pfill,200,184,
285,aa297,Lavender,Sell,fill ,200,184,
294,aa306,Lavender,Sell,pfill,100,569,
293,aa305,Lavender,Buy ,fill ,100,569,
294,aa306,Lavender,Sell,fill ,100,145,
268,aa280,Lavender,Buy ,fill ,100,145,
295,aa307,Tulip,Buy ,New  ,100,632,
296,aa308,Lotus,Buy ,pfill,100,687,
292,aa304,Lotus,Sell,fill ,100,687,
296,aa308,Lotus,Buy ,fill ,200,854,
103,aa115,Lotus,Sell,fill ,200,854,
297,aa309,Lotus,Sell,fill ,100,994,
296,aa308,Lotus,Buy ,pfill,100,994,
297,aa309,Lotus,Sell,fill ,100,622,
238,aa250,Lotus,Buy ,pfill,100,622,
297,aa309,Lotus,Sell,fill ,100,524,
275,aa287,Lotus,Buy ,pfill,100,524,
297,aa309,Lotus,Sell,fill ,100,506,
254,aa266,Lotus,Buy ,pfill,100,506,
297,aa309,Lotus,Sell,fill ,100,445,
256,aa268,Lotus,Buy ,pfill,100,445,
297,aa309,Lotus,Sell,fill ,100,438,
249,aa261,Lotus,Buy ,pfill,100,438,
297,aa309,Lotus,Sell,fill ,100,253,
260,aa272,Lotus,Buy ,fill ,100,253,
297,aa309,Lotus,Sell,fill ,100,125,
215,aa227,Lotus,Buy ,pfill,100,125,
297,aa309,Lotus,Sell,fill ,100,75,
209,aa221,Lotus,Buy ,fill ,100,75,
297,aa309,Lotus,Sell,fill ,100,75,
209,,,Buy ,fill ,100,75,
298,aa310,Lotus,Sell,fill ,100,506,
254,aa266,Lotus,Buy ,fill ,100,506,
